Theme_Name,Definition,Subcodes,Decision_Rules,Representative_Examples,Number_of_Microtopics,Number_of_Posts
"Executive Power, Patronage, and Administrative Control","Posts about the Trump White House exercising power through appointments, firings, transitions, patronage, loyalty tests, messaging, and control over federal institutions.",White House And Presidential Administration; White House; White House Administration; White House Policy; White House Power; White House Control; White House Leadership; White House Conduct; White House Actions; White House Transition; White House Retaliation; White House Records; White House Renovation; White House Styling; White House Trust; White House Promises; White House Pressure; Politicized Appointments; Political Favoritism; Loyalty Screening; Political Loyalty; Political Subservience; Trump Presidency; Trump Controversy; Trump Accountability; Political Vanity; Political Self Promotion; Political Display; Political Symbolism; Political Leverage; Political Pressure; Political Retribution; Political Retaliation; Political Exploitation; Political Manipulation; Political Opportunism; Political Betrayal; Political Projection; Self Interest Motive; Transactional Politics; Transactional Relationships; Transactional Ties; Transactional Loyalty; Trump Messaging; Trump Relations; Political Contradiction; Political Parallels; Political Leaning; Immigration Ice And Deportation Policy; Immigration Enforcement; National Security; Epstein Files; Epstein Files And Political Controversies; Courts Doj; Courts Doj Legal; Republican Politics; Political Controversy; Political Hypocrisy; Epstein Controversy; Corruption Allegations; New Code Democratic Moderation; Education Credential; Political Deflection; Self Defense Debate; New Code Representation; New Code Sports Performance; Military Ban; Trump Opposition; Trump Legitimacy; Political Deceit; Representation Politics; Objectifying Women; New Term Confusion; Trump Critique; Political Double Standards; Political Scapegoating; New Code Golf Criticism; Anti Trump Protest; Elite Influence; Travel Ban; Labor Exploitation; Election Denialism; Presidential Threat; Political Grandiosity; Private Profit; Feminist Betrayal; New Code Financial Grift; New Code Political Symbolism; Political Immaturity; Public Funds Critique; Political Collusion; World War Fear; Political Ploy; Racial Voting Patterns; State Tax Resistance; Donald Trump; State Sovereignty; Gendered Objectification,"Assign material here when it focuses on Trump, the White House, or close allies using administrative authority, appointments, loyalty tests, patronage, messaging, or interpersonal leverage to shape governance. Use this theme for direct governance/leadership content unless the main point is legal conflict, authoritarianism, corruption, media framing, or identity politics.","""The posts center on widespread criticism of Donald Trump's appointment of Massad Boulos... Critics highlight Boulos's lack of billionaire status, legal credentials, and relevant expertise, accusing Trump of nepotism...""; ""The move... is seen as a politically motivated purge targeting women and diversity advocates in the military.""",1482,3003957
"Republican, MAGA, and Partisan Conflict","Posts about partisan conflict, Trump supporter backlash, internal GOP tensions, MAGA identity, and broader political polarization or mobilization.",Republican Party And Partisan Politics; Partisan Politics; Partisan Divide; Partisan Bias; Partisan Switch; Democratic Party Conflict; Trump Enabling; Political Mobilization; Political Protest; Political Backlash; Public Backlash; Political Consumerism; Family Estrangement; Public Perception; New Political Movement; Political Movement; Political Leaning; Republican Party; Political Satire; Political Repression; Rivalry And Competition; Cult Of Personality; Partisan Realignment; Fascist Movement; Partisan Critique; Racial Conservatism; Political Leadership; New Code Community Amplification; New Code Labor Conflict; New Code Joe Manchin; Public Policy Disruption; New Code Satirical Mockery; Political Dissent; Accessibility Practice; Frustration With Omission; Military Loyalty; Anti Democratic Threat; Military Conflict,"Assign material here when the central issue is partisan identity, GOP/MAGA conflict, backlash, supporter loyalty, or polarization between political camps. Use this theme for explicitly partisan dynamics rather than broader authoritarianism or legal accountability.","""These posts collectively depict a narrative of backlash against Trump supporters... including political embarrassment, economic fears, and social fallout.""; ""The posts express strong opposition to Donald Trump's return to power... highlighting concerns about authoritarianism, hypocrisy within the GOP, and the perceived dangers of MAGA ideology.""",864,2040311
"National Security, Military, and Geopolitical Conflict","Posts about defense, military leadership, national security agencies, war, and U.S. involvement in international conflicts and alliances.",National Security And Federal Agencies; National Security Agencies; National Security Threat; National Security Risks; Military Violence; Military Violence And Gun Policy; Military Leadership; Military Respect; Military Draft; Military Technology; Russia Ukraine Conflict And International Affairs; Russia Ukraine Conflict; Russia Influence; Russia Alignment; Russia Linked Finance; Gaza Israel Iran And Middle East Conflict; Gaza Israel Iran; Gaza Conflict; Gaza Israel Conflict; Gaza Israel Middle East; Middle East Conflict; International Affairs; International Law; Canada U S Relations And Sovereignty; Canada U S Relations; Canada U S Sovereignty; Canada U S Tensions; Immigration Policy; Immigration Detention; Immigration Ice; Public Safety Conflict; Political Diversion; Presidential Judgment,"Assign material here when the main topic is military affairs, security agencies, war, foreign conflict, alliances, or geopolitical risk. Use this theme for defense and international-security content rather than domestic partisan conflict.","""The posts highlight growing admiration among Trump and Musk for Argentina's President Javier Milei...""; ""Admiral Linda Fagan... was abruptly fired...""",421,1181188
"Authoritarianism, Fascism, and Democratic Erosion","Posts framing Trump and his movement as authoritarian, fascist, anti-democratic, or engaged in democratic sabotage, intimidation, and constitutional crisis.",Fascism Authoritarianism And Political Extremism; Authoritarianism; Authoritarian Politics; Authoritarian Threats; Authoritarian Tactics; Authoritarian Extremism; Authoritarian Ambitions; Authoritarian Overreach; Authoritarian Power; Authoritarian Display; Authoritarian Erasure; Authoritarian Imagery; Fascism And Extremism; Fascism Debate; Fascist Framing; Fascist Symbolism; Fascist Purge; Fascist Extremism; Fascist Propaganda; Fascist Nostalgia; Fascism Signals; Political Extremism; Political Violence; Democratic Sabotage; Democratic Legitimacy; Constitutional Crisis; Courts Defied; Courts And Executive Power; Courts And Law; Voter Suppression; Political Blackmail; Political Fear; Shadow Power; Democratic Turnout Decline; Political Decline; Political Deterioration; Political Frustration; Political Embarrassment; Political Absurdity; Political Stigma; Political Ridicule; Political Mockery; Political Conspiracy; Political Manipulation; Absurdist Humor; New Code Occult Conspiracy,"Assign material here when it argues that Trumpism or related actors are authoritarian, fascist, anti-democratic, coercive, or destabilizing constitutional order. Use this theme for broad regime-framing and democratic backsliding rather than routine institutional critique.","""The posts depict a dark, surreal political fantasy where authoritarian regimes, occult forces, and dystopian power struggles converge.""; ""Admiral Linda Fagan... was abruptly fired... The move... is seen as a politically motivated purge targeting women and diversity advocates in the military.""",524,1053145
"Media Narratives, Messaging, and Public Framing","Posts about how political events are framed, circulated, critiqued, or amplified through media, public discourse, rhetoric, and communication strategies.",News Media And Political Communication; Political Communication; News Media Bias; News Media Communication; News Media Critique; News Media Shift; News Critique; News Media Legacy; Political Rhetoric; Political Speech; Political Messaging; Political Narrative; Political Framing; Manipulation; Political Misinformation; Political Propaganda; Political Spin; Community Amplification; News Media; Tariffs Trade; Systemic Racism; Housing Affordability; Fan Apparel; Political Incoherence; New Media Legacy; Political Competence; Education And Prestige; Education And Access; Fan Culture; Nostalgic Merchandise; Economic Harm; News Media Commentary; Education And Political Control; Projection; Political Change Debate; Trump Image; Trump Impeachment,"Assign material here when the main focus is media coverage, messaging, narrative framing, public perception, or communicative strategy around politics. Use this theme for discourse and circulation rather than the underlying policy or institutional event itself.","""These posts collectively depict a narrative of backlash against Trump supporters...""; ""President-elect Donald Trump has nominated Kari Lake to lead the Voice of America, raising concerns about the politicization of U.S. global media and the erosion of journalistic independence.""",467,957506
"Legal Accountability, Courts, and Constitutional Conflict","Posts about impeachment, investigations, legal consequences, defiance of law, constitutional disputes, and accountability for wrongdoing.",Courts Doj And Legal Accountability; Courts And Executive Power; Courts And Law; Courts Defied; Trump Accountability; Political Accountability; Political Allegations; Political Cover Up; Political Pressure; Political Leverage; Constitutional Debate; Constitutional Crisis; Impeachment; Impeachment Push; Legal Accountability; Legal Consequences; Political Retribution; Pardon Politics; Pardons And Criminal Justice; Criminal Justice; Government Work Rules; Public Service Privatization; White House Records; White House Control; Gun Rights; Authoritarian Escalation; Threat Disclaimers,"Assign material here when the key issue is law, courts, investigations, impeachment, accountability, or constitutional dispute. Use this theme for explicit legal or judicial conflict, even if the post also contains partisan criticism.","""Rep. Al Green has announced articles of impeachment against President Trump... The move is framed as a moral and constitutional response to what critics call dangerous and illegal policy threats.""; ""Posts detail President Trump's dismissal of Archivist Colleen Shogan... Critics warn this undermines government transparency and historical accountability.""",444,849530
"Economic Policy, Taxation, and Distributional Conflict","Posts about taxes, tariffs, spending, subsidies, austerity, fiscal stewardship, and the distribution of economic costs and benefits.",Tariffs Trade And Economic Policy; Economic Policy; Economic Impact; Economic Influence; Economic Stewardship; Economic Data Trust; Economic Disruption; Economic Inequality; Economic Exploitation; Economic Loss; Economic Anxiety; Public Funding; Public Funding Cuts; Public Funding Priorities; Federal Funding Conflict; Public Lands; Market Manipulation; Tesla Subsidies; Trade And Resources; Financial Exploitation; Education And Workforce; No Content,"Assign material here when the central topic is economic policy, taxation, spending, tariffs, subsidies, markets, or who bears economic costs and benefits. Use this theme for material focused on fiscal distribution and macroeconomic consequences rather than labor conflict or corruption per se.","""The cluster warns that Milei’s economic reforms—leading to soaring poverty and social unrest—may foreshadow a similar trajectory for the U.S.""; ""...including proposed tax legislation, including bills to expand deductions, modify charitable contributions, and reform energy and healthcare-related tax incentives...""",205,475829
"Technology, Platforms, and Digital Power","Posts about technology leaders, platform influence, digital rights, market leverage through tech, and the political role of online systems.",Elon Musk Technology And Economic Influence; Elon Musk Influence; Elon Musk Technology; Technology Power; Digital Rights; Market Manipulation; Tesla Subsidies; Political Consumerism; Political Leverage; Public Service Privatization; New Code Personal Branding; New Code; Online Memes; New Code Political Leverage,"Assign material here when the emphasis is on technology companies, digital platforms, online influence, or tech-enabled power. Use this theme for digital infrastructure and platform politics rather than broader economic or media framing.","""The posts highlight growing admiration among Trump and Musk for Argentina's President Javier Milei...""; ""President-elect Donald Trump has nominated Kari Lake to lead the Voice of America...""",112,442291
"Public Lands, Environment, and Climate Governance","Posts about climate policy, environmental protection, public lands, and the governance of shared natural resources.",Public Health Climate And Government Funding; Climate Policy; Public Lands; Public Funding Priorities; Native Treaty Obligations; Public Health Climate,"Assign material here when the central concern is climate, environment, land stewardship, or public-resource governance. Use this theme for environmental policy rather than broader economic or sovereignty debates.","""...concerns climate policy, clean energy, and environmental protections.""; ""...the cluster warns that Milei’s economic reforms...""",130,257846
"Education, Universities, and Intellectual Control","Posts about higher education, schools, academic governance, student debt, funding, visas, curriculum, and attempts to control or police educational institutions.",Education And Higher Education Policy; Education Policy; Education And Higher Ed; Education And Funding; Education And College Sports; Education And Debt; Education And Visas; Education And History; Education And Manipulation; Education And Control; Free Speech; Religious Workplace Proselytizing; History Censorship; Accessibility Advocacy; Trans Identity Debate,"Assign material here when the subject is education policy, universities, school governance, academic freedom, student support, or institutional control over learning environments. Use this theme for educational institutions and intellectual authority rather than general media or public-health debates.","""Tax Reform and Free Speech Controversies... alongside high-profile political controversies involving free speech at LSU Law School...""; ""The posts reflect broader ideological debates on fiscal policy, government transparency, and constitutional rights.""",63,101423
"Health, Public Health, and Bodily Politics","Posts about public health policy, health funding, health rights, mental health, disability/access concerns, and bodily regulation or stigma.",Public Health; Public Health Funding; Public Health Climate; Public Health Rollbacks; Public Health Policy; Public Health Response; Mental Health; Mental Fitness Concerns; New Stigma Debate; New Masculinity; New Masculinity Politics; New Code Masculinity Politics; New Code Feminized Political Appearance; New Code Cosmetic Conformity; Gender Backlash; Feminist Resistance; Feminist Critique,"Assign material here when the main issue is health policy, public health governance, mental health, bodily regulation, or stigma around bodies and gendered presentation. Use this theme for health/bodily politics rather than general identity or civil-rights framing.","""...criticized for its approach to public health...""; ""The posts reflect broader ideological debates...""",31,69496
"Immigration, Borders, and Sovereignty","Posts about immigration enforcement, detention, ICE, language access, and sovereignty disputes tied to borders and migration governance.",Immigration Policy; Immigration Detention; Immigration Ice; Immigrant Language Access; Native Sovereignty; Native Treaty Obligations; Indigenous Recognition; Colonial Critique; Historical Revisionism; Indigenous Sovereignty; Political Critique,"Assign material here when the focus is immigration control, border governance, detention, language access, or sovereignty claims tied to people and territory. Use this theme for migration/border issues unless the post is primarily about military security or race/identity.","""The posts center on widespread criticism of Donald Trump's appointment of Massad Boulos...""; ""...concerns about the politicization of U.S. global media...""",23,18729
"Aesthetics, Symbolism, and Performance of Power","Posts about the visual, performative, and symbolic presentation of politics, including decor, style, masculinity, femininity, and propaganda imagery.",New Code Ostentatious Decor; New Code Cosmetic Conformity; Political Aesthetic Critique; Political Display; Authoritarian Imagery; Fascist Symbolism; Political Symbolism; Political Vanity; White House Styling; New Masculinity; New Masculinity Politics; New Code Masculinity Politics; Feminized Political Appearance; Fascist Propaganda; Political Absurdity; Political Image,"Assign material here when the main point is how politics looks, performs, or symbolizes power through aesthetics, style, image-making, or propaganda. Use this theme for visual/performance content even when it overlaps with vanity or authoritarian symbolism.","""...the posts critique Donald Trump's repeated selection of Black individuals...""; ""Eldritch Tyranny and Political Apocalypse""",1,2890
"Race, Civil Rights, and Identity Hierarchies","Posts about racial tokenism, racialized preference, civil rights rollback, identity-based exclusion, and contested recognition of marginalized groups.",Racial Tokenism; Racialized Preference; Civil Rights Rollback; Racial Preference; Eugenics Allegations; Feminized Political Appearance; Gender Backlash; Trans Identity Debate; New Stigma Debate; Indigenous Recognition; Native Sovereignty; Colonial Critique; Immigrant Language Access; Accessibility Advocacy,"Assign material here when the primary issue is race, civil rights, identity-based inclusion/exclusion, or hierarchy across marginalized groups. Use this theme for identity politics when the emphasis is on race/civil rights rather than general health, education, or sovereignty.","""The posts critique Donald Trump's repeated selection of Black individuals for the Department of Housing and Urban Development (HUD)...""; ""...concerns about racial tokenism...""",3,1942