Theme_Name,Definition,Subcodes,Decision_rules,Representative_examples,Number_of_EOs
"Civil Rights, Equality, and Gender Policy","Equality of opportunity, merit-based treatment, and federal policy framing around gender and biological sex.",Civil Rights,"Use when the material addresses anti-discrimination, equality, meritocracy, or explicit gender-related policy positioning.",Restoring Equality of Opportunity and Meritocracy; Defending Women From Gender Ideology Extremism and Restoring Biological Truth to the Federal Government,14
Cultural Heritage and National Pastime,Protection or celebration of iconic American cultural traditions and heritage symbols.,Sports Heritage,"Use when the material is about preserving a national cultural icon, tradition, or heritage practice, especially sports-related identity.",Preserving America's Game,5
Domestic Investment and Market Competition,"Investment promotion, market structure, and executive actions shaping domestic commercial conditions and competition policy.",Commerce,"Use when the material focuses on attracting capital, accelerating investment, or altering domestic competition and business conditions.",Establishing the United States Investment Accelerator; Revocation of Executive Order on Competition,14
Education and Higher-Ed Transparency,"Educational institutions, university governance, transparency in higher education, and AI education for youth.",Education,"Use when the material concerns schools, universities, educational policy, institutional transparency, or educational programming for AI literacy.",Transparency Regarding Foreign Influence at American Universities; Advancing Artificial Intelligence Education for American Youth,10
Energy Development and Resource Expansion,"Energy dominance, extraction, and the expansion of domestic resource potential and energy capacity.",Energy,"Use when the material focuses on energy production, natural resource development, extraction, or energy-sector expansion initiatives.",Unleashing Alaska's Extraordinary Resource Potential; Establishing the National Energy Dominance Council,10
Environmental Stewardship and Beautification,"Environmental improvement, conservation aesthetics, and participation in international environmental agreements.",Environment,"Use when the material centers on environmental protection, beautification, stewardship, or climate/environmental diplomacy.",Establishing the President's Make America Beautiful Again Commission; Putting America First in International Environmental Agreements,4
Executive Coordination and Administrative Task Forces,"Federal executive organization, task forces, commissions, and centralized administrative coordination for major national initiatives.",Public Admin,"Use when the material centers on White House coordination, executive task forces, commissions, or administrative directives that organize federal action across agencies.",Establishing the White House Task Force on the 2028 Summer Olympics; Preventing Woke AI in the Federal Government,48
Family Support and Child Wellbeing,Support for children and families through welfare-oriented assistance or family-centered policy.,Social Welfare,"Use when the material focuses on family assistance, child wellbeing, or social support for households.",Fostering the Future for American Children and Families,2
Foreign Policy and External Relations,"Relations with foreign governments and institutions, including sanctions, international influence, and diplomatic positioning.",International Affairs,"Use when the primary focus is another country, international leverage, sanctions, diplomacy, or foreign influence affecting U.S. interests.",Providing for the Revocation of Syria Sanctions; Transparency Regarding Foreign Influence at American Universities,29
"Health, Reproductive Care, and Medical Research","Reproductive access, fertility treatment, and research related to drugs, treatments, or medical interventions.",Health,"Use when the material is primarily about health policy, reproductive services, fertility access, or medical research and experimentation.",Expanding Access to In Vitro Fertilization; Increasing Medical Marijuana and Cannabidiol Research,13
Housing Affordability and Development Deregulation,Reducing regulatory barriers to housing construction and improving affordability for homebuyers.,Housing,"Use when the material is about housing supply, affordability, home construction, zoning/regulatory relief, or homeowner access.",Removing Regulatory Barriers to Affordable Home Construction; Stopping Wall Street From Competing With Main Street Homebuyers,4
Infrastructure and Maritime Transportation Rules,Operational rules for transportation workers and maritime capacity or dominance.,Transportation,"Use when the material addresses transportation operations, traffic or safety rules, trucking, shipping, or maritime strategy.",Enforcing Commonsense Rules of the Road for America's Truck Drivers; Restoring America's Maritime Dominance,3
"National Security, Defense, and Strategic Resilience","Military protection, territorial integrity, strategic assets, critical minerals, and broader resilience concerns tied to national security.",Defense; Macro Economy,"Use when the material links security to defense readiness, military authority, strategic supply chains, critical minerals, or systemic economic resilience.",Ensuring National Security and Economic Resilience Through Section 232 Actions on Processed Critical Minerals and Derivative Products; Clarifying the Military's Role in Protecting the Territorial Integrity of the United States; A Plan for Establishing a United States Sovereign Wealth Fund,28
"Public Lands, Parks, and Timber Production","National parks, public lands beautification, and timber production on publicly managed lands.",Public Lands,"Use when the material concerns parks, forests, federal lands, land management, or timber extraction from public lands.",Making America Beautiful Again by Improving Our National Parks; Immediate Expansion of American Timber Production,3
"Public Order, Crime, and Border Enforcement","Criminal disorder, illicit drugs, and enforcement-oriented border security and immigration control.",Law Crime; Immigration,"Use when the material emphasizes crime reduction, public disorder, drug interdiction, border enforcement, or immigration restriction/management.",Ending Crime and Disorder on America's Streets; Amendment to Duties To Address the Flow of Illicit Drugs Across Our Northern Border; Securing Our Borders; Progress on the Situation at Our Southern Border,33
"Technology, Science, and Artificial Intelligence Development","Artificial intelligence, scientific research, and broader technology development or governance.",Science Technology; Science Tech,"Use when the core issue is AI, scientific advancement, research safety, or promotion/governance of emerging technologies.",Promoting the Export of the American AI Technology Stack; Improving the Safety and Security of Biological Research; Advancing Artificial Intelligence Education for American Youth,10
"Trade, Tariffs, and Export Promotion","Cross-border commerce, tariff policy, and efforts to promote or protect American exports abroad.",Trade; Culture Promotion,"Use when the material concerns import/export flows, reciprocal tariffs, trade negotiations, or export promotion as a policy tool.",Promoting the Export of the American AI Technology Stack; Modifying Reciprocal Tariff Rates To Reflect Discussions With the People's Republic of China,19
"Workforce, Training, and Retirement Security","Skilled job preparation, workforce readiness, and financial security for workers, including retirement access.",Labor,"Use when the material emphasizes job training, labor market preparation, workplace opportunity, or worker savings/retirement policy.",Preparing Americans for High-Paying Skilled Trade Jobs of the Future; Promoting Retirement-Savings Access for American Workers by Establishing TrumpIRA.gov,2
Water Supply and Disaster Response,Emergency water provision and disaster-related resource management and response.,Water Resources; Disaster Response,"Use when the material concerns water infrastructure, emergency water supply, or disaster mitigation and response actions.",Emergency Measures To Provide Water Resources in California and Improve Disaster,7